NUM TECH ERRS RETIRED COLOR DEFAULTS INT-DEFS RADII-DEFS LONG-NAME
 03 AVNO   0      0    47      0        0         0      GFS        GFS Model
 03 AVNI   1      0    47      1        1         0      GFSI       GFS Model (Interpolated 06 hours)
 03 AVN2   0      0    47      1        1         0      GFS2       GFS Model (Interpolated 12 hours)
 03 AVXO   0      0    28      0        0         0      GFX        GFS Model 10-day tracker
 03 AVXI   1      0    28      0        0         0      GFXI       GFS Model 10-day tracker (Interpolated 06 hours)
 03 AVX2   0      0    28      0        0         0      GFX2       GFS Model 10-day tracker (Interpolated 12 hours)
 03 AHNI   0      0    47      0        0         1      GHNI       GFS Model (Interpolated 06 hrs) variable offset - intensity/radii
 03 AHN2   0      0    47      0        0         1      GHN2       GFS Model (Interpolated 12 hrs) variable offset - intensity/radii
 03 AC00   0      0    23      0        0         0      GC00       GFS Ensemble control member
 03 AP01   0      0    23      0        0         0      GP01       GFS Ensemble +01 member
 03 AP02   0      0    23      0        0         0      GP02       GFS Ensemble +02 member
 03 AP03   0      0    23      0        0         0      GP03       GFS Ensemble +03 member
 03 AP04   0      0    23      0        0         0      GP04       GFS Ensemble +04 member
 03 AP05   0      0    23      0        0         0      GP05       GFS Ensemble +05 member
 03 AP06   0      0    23      0        0         0      GP06       GFS Ensemble +06 member
 03 AP07   0      0    23      0        0         0      GP07       GFS Ensemble +07 member
 03 AP08   0      0    23      0        0         0      GP08       GFS Ensemble +08 member
 03 AP09   0      0    23      0        0         0      GP09       GFS Ensemble +09 member
 03 AP10   0      0    23      0        0         0      GP10       GFS Ensemble +10 member
 03 AP11   0      0    23      0        0         0      GP11       GFS Ensemble +11 member
 03 AP12   0      0    23      0        0         0      GP12       GFS Ensemble +12 member
 03 AP13   0      0    23      0        0         0      GP13       GFS Ensemble +13 member
 03 AP14   0      0    23      0        0         0      GP14       GFS Ensemble +14 member
 03 AP15   0      0    23      0        0         0      GP15       GFS Ensemble +15 member
 03 AP16   0      0    23      0        0         0      GP16       GFS Ensemble +16 member
 03 AP17   0      0    23      0        0         0      GP17       GFS Ensemble +17 member
 03 AP18   0      0    23      0        0         0      GP18       GFS Ensemble +18 member
 03 AP19   0      0    23      0        0         0      GP19       GFS Ensemble +19 member
 03 AP20   0      0    23      0        0         0      GP20       GFS Ensemble +20 member
 03 AEMN   0      0    24      0        0         0      GEMN       GFS Ensemble Mean
 03 AEMI   1      0    24      1        0         0      GEMI       GFS Ensemble Mean (Interpolated 06 hours)
 03 AEM2   0      0    24      1        0         0      GEM2       GFS Ensemble Mean (Interpolated 12 hours)
 03 AMMN   0      0    24      0        0         0      GMMN       GFS New Ensemble Mean
 03 UKM    0      0     5      1        0         0                 UKMET model (Developmental)
 03 UKMI   1      0    48      1        0         0                 UKMET model (Interpolated 06 hours)
 03 UKM2   1      0    48      1        0         0                 UKMET model (Interpolated 12 hours)
 03 EGRR   0      0    23      0        0         0                 UKMET model GTS (Official)
 03 EGRI   0      0    23      1        0         0                 UKMET model GTS (Official - Interpolated 06 hours)
 03 EGR2   0      0    23      1        0         0                 UKMET model GTS (Official - Interpolated 12 hours)
 03 KEGR   0      1    23      1        0         0                 UKMET model GTS (2014 test)
 03 KEGI   0      1    23      1        0         0                 UKMET model GTS (2014 test - Interpolated 06 hours)
 03 KEG2   0      1    23      1        0         0                 UKMET model GTS (2014 test - Interpolated 12 hours)
 03 UKX    0      0     5      0        0         0                 UKMET [GFS tracker]
 03 UKXI   1      0     5      0        0         0                 UKMET [GFS tracker] (Interpolated 06 hours)
 03 UKX2   1      0     5      0        0         0                 UKMET [GFS tracker] (Interpolated 12 hours)
 03 NGPS   0      1    14      0        0         0                 NOGAPS model
 03 NGPI   1      1    14      0        0         0                 NOGAPS model (Interpolated 06 hours)
 03 NGP2   0      1    14      0        0         0                 NOGAPS model (Interpolated 12 hours)
 03 NVGM   0      0    14      0        0         0                 NAVGEM model
 03 NVGI   1      0    14      1        0         0                 NAVGEM model (Interpolated 06 hours)
 03 NVG2   0      0    14      1        0         0                 NAVGEM model (Interpolated 12 hours)
 03 NGX    0      0    14      0        0         0                 NAVGEM/NOGAPS [GFS tracker]
 03 NGXI   1      0    14      0        0         0                 NAVGEM/NOGAPS [GFS tracker] (Interpolated 06 hours)
 03 NGX2   1      0    14      0        0         0                 NAVGEM/NOGAPS [GFS tracker] (Interpolated 12 hours)
 03 CMC    0      0     6      0        0         0                 Canadian model
 03 CMCI   1      0     6      1        0         0                 Canadian model (Interpolated 06 hours)
 03 CMC2   1      0     6      1        0         0                 Canadian Model (Interpolated 12 hours)
 03 CEMN   0      0     6      0        0         0                 Canadian model Ensemble Mean
 03 CEMI   0      0     6      1        0         0                 Canadian model Ensemble Mean (Interpolated 06 hours)
 03 CEM2   0      0     6      1        0         0                 Canadian model Ensemble Mean (Interpolated 12 hours)
 03 CC00   0      0     6      0        0         0                 Canadian model Ensemble control
 03 CP01   0      0     6      0        0         0                 Canadian model Ensemble +01 member
 03 CP02   0      0     6      0        0         0                 Canadian model Ensemble +02 member
 03 CP03   0      0     6      0        0         0                 Canadian model Ensemble +03 member
 03 CP04   0      0     6      0        0         0                 Canadian model Ensemble +04 member
 03 CP05   0      0     6      0        0         0                 Canadian model Ensemble +05 member
 03 CP06   0      0     6      0        0         0                 Canadian model Ensemble +06 member
 03 CP07   0      0     6      0        0         0                 Canadian model Ensemble +07 member
 03 CP08   0      0     6      0        0         0                 Canadian model Ensemble +08 member
 03 CP09   0      0     6      0        0         0                 Canadian model Ensemble +09 member
 03 CP10   0      0     6      0        0         0                 Canadian model Ensemble +10 member
 03 CP11   0      0     6      0        0         0                 Canadian model Ensemble +11 member
 03 CP12   0      0     6      0        0         0                 Canadian model Ensemble +12 member
 03 CP13   0      0     6      0        0         0                 Canadian model Ensemble +13 member
 03 CP14   0      0     6      0        0         0                 Canadian model Ensemble +14 member
 03 CP15   0      0     6      0        0         0                 Canadian model Ensemble +15 member
 03 CP16   0      0     6      0        0         0                 Canadian model Ensemble +16 member
 03 CP17   0      0     6      0        0         0                 Canadian model Ensemble +17 member
 03 CP18   0      0     6      0        0         0                 Canadian model Ensemble +18 member
 03 CP19   0      0     6      0        0         0                 Canadian model Ensemble +19 member
 03 CP20   0      0     6      0        0         0                 Canadian model Ensemble +20 member
 03 ECM    0      0     6      0        0         0                 ECMWF model
 03 ECMI   0      0     6      0        0         0                 ECMWF model (Interpolated 06 hours)
 03 ECM2   0      0     6      0        0         0                 ECMWF model (Interpolated 12 hours)
 03 EMX    0      0     6      0        0         0                 ECMWF model [NCEP tracker]
 03 EMXI   1      0     8      1        1         1                 ECMWF model [NCEP tracker] (Interpolated 06 hrs)
 03 EMX2   1      0    28      1        1         1                 ECMWF model [NCEP tracker] (Interpolated 12 hrs)
 03 EEMN   0      0     6      0        0         0                 ECMWF model Ensemble Mean [NCEP tracker]
 03 EMNI   0      0     6      1        0         0                 ECMWF model Ensemble Mean [NCEP tracker] (Interpolated 06 hours)
 03 EMN2   0      0     6      1        0         0                 ECMWF model Ensemble Mean [NCEP tracker] (Interpolated 12 hours)
 03 EMN3   0      0     6      1        0         0                 ECMWF model Ensemble Mean [NCEP tracker] (Interpolated 18 hours)
 03 EMN4   0      0     6      0        0         0                 ECMWF model Ensemble Mean [NCEP tracker] (Interpolated 24 hours)
 03 EC00   0      0     6      0        0         0                 ECMWF model Ensemble control member [NCEP tracker]
 03 EN01   0      0     6      0        0         0                 ECMWF model Ensemble +01 member [NCEP tracker]
 03 EN02   0      0     6      0        0         0                 ECMWF model Ensemble +02 member [NCEP tracker]
 03 EN03   0      0     6      0        0         0                 ECMWF model Ensemble +03 member [NCEP tracker]
 03 EN04   0      0     6      0        0         0                 ECMWF model Ensemble +04 member [NCEP tracker]
 03 EN05   0      0     6      0        0         0                 ECMWF model Ensemble +05 member [NCEP tracker]
 03 EN06   0      0     6      0        0         0                 ECMWF model Ensemble +06 member [NCEP tracker]
 03 EN07   0      0     6      0        0         0                 ECMWF model Ensemble +07 member [NCEP tracker]
 03 EN08   0      0     6      0        0         0                 ECMWF model Ensemble +08 member [NCEP tracker]
 03 EN09   0      0     6      0        0         0                 ECMWF model Ensemble +09 member [NCEP tracker]
 03 EN10   0      0     6      0        0         0                 ECMWF model Ensemble +10 member [NCEP tracker]
 03 EN11   0      0     6      0        0         0                 ECMWF model Ensemble +11 member [NCEP tracker]
 03 EN12   0      0     6      0        0         0                 ECMWF model Ensemble +12 member [NCEP tracker]
 03 EN13   0      0     6      0        0         0                 ECMWF model Ensemble +13 member [NCEP tracker]
 03 EN14   0      0     6      0        0         0                 ECMWF model Ensemble +14 member [NCEP tracker]
 03 EN15   0      0     6      0        0         0                 ECMWF model Ensemble +15 member [NCEP tracker]
 03 EN16   0      0     6      0        0         0                 ECMWF model Ensemble +16 member [NCEP tracker]
 03 EN17   0      0     6      0        0         0                 ECMWF model Ensemble +17 member [NCEP tracker]
 03 EN18   0      0     6      0        0         0                 ECMWF model Ensemble +18 member [NCEP tracker]
 03 EN19   0      0     6      0        0         0                 ECMWF model Ensemble +19 member [NCEP tracker]
 03 EN20   0      0     6      0        0         0                 ECMWF model Ensemble +20 member [NCEP tracker]
 03 EN21   0      0     6      0        0         0                 ECMWF model Ensemble +21 member [NCEP tracker]
 03 EN22   0      0     6      0        0         0                 ECMWF model Ensemble +22 member [NCEP tracker]
 03 EN23   0      0     6      0        0         0                 ECMWF model Ensemble +23 member [NCEP tracker]
 03 EN24   0      0     6      0        0         0                 ECMWF model Ensemble +24 member [NCEP tracker]
 03 EN25   0      0     6      0        0         0                 ECMWF model Ensemble +25 member [NCEP tracker]
 03 EP01   0      0     6      0        0         0                 ECMWF model Ensemble +26 member [NCEP tracker]
 03 EP02   0      0     6      0        0         0                 ECMWF model Ensemble +27 member [NCEP tracker]
 03 EP03   0      0     6      0        0         0                 ECMWF model Ensemble +28 member [NCEP tracker]
 03 EP04   0      0     6      0        0         0                 ECMWF model Ensemble +29 member [NCEP tracker]
 03 EP05   0      0     6      0        0         0                 ECMWF model Ensemble +30 member [NCEP tracker]
 03 EP06   0      0     6      0        0         0                 ECMWF model Ensemble +31 member [NCEP tracker]
 03 EP07   0      0     6      0        0         0                 ECMWF model Ensemble +32 member [NCEP tracker]
 03 EP08   0      0     6      0        0         0                 ECMWF model Ensemble +33 member [NCEP tracker]
 03 EP09   0      0     6      0        0         0                 ECMWF model Ensemble +34 member [NCEP tracker]
 03 EP10   0      0     6      0        0         0                 ECMWF model Ensemble +35 member [NCEP tracker]
 03 EP11   0      0     6      0        0         0                 ECMWF model Ensemble +36 member [NCEP tracker]
 03 EP12   0      0     6      0        0         0                 ECMWF model Ensemble +37 member [NCEP tracker]
 03 EP13   0      0     6      0        0         0                 ECMWF model Ensemble +38 member [NCEP tracker]
 03 EP14   0      0     6      0        0         0                 ECMWF model Ensemble +39 member [NCEP tracker]
 03 EP15   0      0     6      0        0         0                 ECMWF model Ensemble +40 member [NCEP tracker]
 03 EP16   0      0     6      0        0         0                 ECMWF model Ensemble +41 member [NCEP tracker]
 03 EP17   0      0     6      0        0         0                 ECMWF model Ensemble +42 member [NCEP tracker]
 03 EP18   0      0     6      0        0         0                 ECMWF model Ensemble +43 member [NCEP tracker]
 03 EP19   0      0     6      0        0         0                 ECMWF model Ensemble +44 member [NCEP tracker]
 03 EP20   0      0     6      0        0         0                 ECMWF model Ensemble +45 member [NCEP tracker]
 03 EP21   0      0     6      0        0         0                 ECMWF model Ensemble +46 member [NCEP tracker]
 03 EP22   0      0     6      0        0         0                 ECMWF model Ensemble +47 member [NCEP tracker]
 03 EP23   0      0     6      0        0         0                 ECMWF model Ensemble +48 member [NCEP tracker]
 03 EP24   0      0     6      0        0         0                 ECMWF model Ensemble +49 member [NCEP tracker]
 03 EP25   0      0     6      0        0         0                 ECMWF model Ensemble +50 member [NCEP tracker]
 03 ECMO   0      0     6      0        0         0                 ECMWF model [GTS tracker]
 03 ECOI   0      0     6      1        1         0                 ECMWF model [GTS tracker] (Interpolated 06 hours)
 03 ECO2   0      0     6      1        1         0                 ECMWF model [GTS tracker] (Interpolated 12 hours)
 03 ECME   0      0     6      0        0         0                 ECMWF model Ensemble Control Member [GTS tracker]
 03 EE01   0      0     6      0        0         0                 ECMWF model Ensemble +01 member [GTS tracker]
 03 EE02   0      0     6      0        0         0                 ECMWF model Ensemble +02 member [GTS tracker]
 03 EE03   0      0     6      0        0         0                 ECMWF model Ensemble +03 member [GTS tracker]
 03 EE04   0      0     6      0        0         0                 ECMWF model Ensemble +04 member [GTS tracker]
 03 EE05   0      0     6      0        0         0                 ECMWF model Ensemble +05 member [GTS tracker]
 03 EE06   0      0     6      0        0         0                 ECMWF model Ensemble +06 member [GTS tracker]
 03 EE07   0      0     6      0        0         0                 ECMWF model Ensemble +07 member [GTS tracker]
 03 EE08   0      0     6      0        0         0                 ECMWF model Ensemble +08 member [GTS tracker]
 03 EE09   0      0     6      0        0         0                 ECMWF model Ensemble +09 member [GTS tracker]
 03 EE10   0      0     6      0        0         0                 ECMWF model Ensemble +10 member [GTS tracker]
 03 EE11   0      0     6      0        0         0                 ECMWF model Ensemble +11 member [GTS tracker]
 03 EE12   0      0     6      0        0         0                 ECMWF model Ensemble +12 member [GTS tracker]
 03 EE13   0      0     6      0        0         0                 ECMWF model Ensemble +13 member [GTS tracker]
 03 EE14   0      0     6      0        0         0                 ECMWF model Ensemble +14 member [GTS tracker]
 03 EE15   0      0     6      0        0         0                 ECMWF model Ensemble +15 member [GTS tracker]
 03 EE16   0      0     6      0        0         0                 ECMWF model Ensemble +16 member [GTS tracker]
 03 EE17   0      0     6      0        0         0                 ECMWF model Ensemble +17 member [GTS tracker]
 03 EE18   0      0     6      0        0         0                 ECMWF model Ensemble +18 member [GTS tracker]
 03 EE19   0      0     6      0        0         0                 ECMWF model Ensemble +19 member [GTS tracker]
 03 EE20   0      0     6      0        0         0                 ECMWF model Ensemble +20 member [GTS tracker]
 03 EE21   0      0     6      0        0         0                 ECMWF model Ensemble +21 member [GTS tracker]
 03 EE22   0      0     6      0        0         0                 ECMWF model Ensemble +22 member [GTS tracker]
 03 EE23   0      0     6      0        0         0                 ECMWF model Ensemble +23 member [GTS tracker]
 03 EE24   0      0     6      0        0         0                 ECMWF model Ensemble +24 member [GTS tracker]
 03 EE25   0      0     6      0        0         0                 ECMWF model Ensemble +25 member [GTS tracker]
 03 EE26   0      0     6      0        0         0                 ECMWF model Ensemble +26 member [GTS tracker]
 03 EE27   0      0     6      0        0         0                 ECMWF model Ensemble +27 member [GTS tracker]
 03 EE29   0      0     6      0        0         0                 ECMWF model Ensemble +28 member [GTS tracker]
 03 EE29   0      0     6      0        0         0                 ECMWF model Ensemble +29 member [GTS tracker]
 03 EE30   0      0     6      0        0         0                 ECMWF model Ensemble +30 member [GTS tracker]
 03 EE31   0      0     6      0        0         0                 ECMWF model Ensemble +31 member [GTS tracker]
 03 EE32   0      0     6      0        0         0                 ECMWF model Ensemble +32 member [GTS tracker]
 03 EE33   0      0     6      0        0         0                 ECMWF model Ensemble +33 member [GTS tracker]
 03 EE34   0      0     6      0        0         0                 ECMWF model Ensemble +34 member [GTS tracker]
 03 EE35   0      0     6      0        0         0                 ECMWF model Ensemble +35 member [GTS tracker]
 03 EE36   0      0     6      0        0         0                 ECMWF model Ensemble +36 member [GTS tracker]
 03 EE37   0      0     6      0        0         0                 ECMWF model Ensemble +37 member [GTS tracker]
 03 EE38   0      0     6      0        0         0                 ECMWF model Ensemble +38 member [GTS tracker]
 03 EE39   0      0     6      0        0         0                 ECMWF model Ensemble +39 member [GTS tracker]
 03 EE40   0      0     6      0        0         0                 ECMWF model Ensemble +40 member [GTS tracker]
 03 EE41   0      0     6      0        0         0                 ECMWF model Ensemble +41 member [GTS tracker]
 03 EE42   0      0     6      0        0         0                 ECMWF model Ensemble +42 member [GTS tracker]
 03 EE43   0      0     6      0        0         0                 ECMWF model Ensemble +43 member [GTS tracker]
 03 EE44   0      0     6      0        0         0                 ECMWF model Ensemble +44 member [GTS tracker]
 03 EE45   0      0     6      0        0         0                 ECMWF model Ensemble +45 member [GTS tracker]
 03 EE46   0      0     6      0        0         0                 ECMWF model Ensemble +46 member [GTS tracker]
 03 EE47   0      0     6      0        0         0                 ECMWF model Ensemble +47 member [GTS tracker]
 03 EE48   0      0     6      0        0         0                 ECMWF model Ensemble +48 member [GTS tracker]
 03 EE49   0      0     6      0        0         0                 ECMWF model Ensemble +49 member [GTS tracker]
 03 EE50   0      0     6      0        0         0                 ECMWF model Ensemble +50 member [GTS tracker]
 48 JGSM   0      0    54      0        0         0                 Japanese Global Spectral Model
 03 JGSI   0      0    54      0        0         0                 Japanese Global Spectral Model (Interpolated 06 hours)
 03 JGS2   0      0    54      0        0         0                 Japanese Global Spectral Model (Interpolated 12 hours)
 03 CONU   0      1    21      0        0         0                 NHC Multi-Model Consensus (Retired)
 03 GUNA   0      1    21      0        0         0                 Consensus of all: AVNI/GHMI/EGRI/NGPI
 03 CGUN   0      1    22      0        0         0                 Corrected version of GUNA
 03 TCON   0      0    21      0        0         0                 Consensus of all: AVNI/EGRI/HWFI (2017 version)
 03 TCOE   0      0    21      0        0         0                 Consensus of all: AVNI/EGRI/HWFI (2017 version)
 03 TCOA   0      0    21      0        0         0                 Consensus of all: AVNI/EGRI/HWFI (2017 version)
 03 TCCN   0      0    22      0        0         0                 Corrected version of TCON
 03 ICON   0      0     5      0        1         0                 Consensus of all: DSHP/LGEM/HWFI (2017 version)
 03 TVCN   0      0    21      1        0         0                 Consensus of >=2: AVNI/EGRI/HWFI/EMXI/CTCI (2017 version)
