 00.0N  00.0W === ALABAMA ===
 30.7N  88.1W MOBILE ALABAMA
 00.0N  00.0W === FLORIDA (WEST) ===
 30.5N  87.2W PENSACOLA FLORIDA
 30.4N  86.6W FORT WALTON BEACH FLORIDA
 30.2N  85.7W PANAMA CITY FLORIDA
 29.7N  85.0W APALACHICOLA FLORIDA
 30.4N  84.3W TALLAHASSEE FLORIDA
 29.1N  83.1W CEDAR KEY FLORIDA
 27.9N  82.8W CLEARWATER FLORIDA
 28.9N  82.6W CRYSTAL RIVER FLORIDA
 28.0N  82.5W TAMPA FLORIDA
 27.8N  82.7W ST. PETERSBURG FLORIDA
 27.3N  82.5W SARASOTA FLORIDA
 27.0N  82.1W PORT CHARLOTTE FLORIDA
 26.9N  82.1W PUNTA GORDA FLORIDA
 00.0N  00.0W === FLORIDA (SOUTH) ===
 26.7N  81.8W FT. MYERS FLORIDA
 24.6N  81.8W KEY WEST FLORIDA
 24.7N  81.1W MARATHON FLORIDA
 25.1N  80.4W KEY LARGO FLORIDA
 25.5N  80.5W FLORIDA CITY FLORIDA
 25.5N  80.5W HOMESTEAD FLORIDA
 25.8N  80.2W MIAMI FLORIDA
 26.4N  80.1W BOCA RATON FLORIDA
 00.0N  00.0W === FLORIDA (EAST) ===
 26.7N  80.1W WEST PALM BEACH FLORIDA
 27.4N  80.3W FORT PIERCE FLORIDA
 27.6N  80.4W VERO BEACH FLORIDA
 28.1N  80.6W MELBOURNE FLORIDA
 26.8N  80.9W CLEWISTON FLORIDA 
 27.5N  81.4W SEBRING FLORIDA 
 28.4N  80.6W CAPE CANAVERAL FLORIDA
 29.2N  81.0W DAYTONA BEACH FLORIDA
 29.9N  81.3W ST. AUGUSTINE FLORIDA
 30.3N  81.7W JACKSONVILLE FLORIDA
 00.0N  00.0W === GEORGIA ===
 31.2N  81.5W BRUNSWICK GEORGIA
 32.1N  81.1W SAVANNAH GEORGIA
 00.0N  00.0W === CAROLINAS ===
 32.2N  80.7W HILTON HEAD ISLAND SOUTH CAROLINA
 32.4N  80.7W BEAUFORT SOUTH CAROLINA
 32.8N  80.0W CHARLESTON SOUTH CAROLINA
 33.4N  79.3W GEORGETOWN SOUTH CAROLINA
 33.7N  78.9W MYRTLE BEACH SOUTH CAROLINA
 33.9N  78.0W CAPE FEAR NORTH CAROLINA
 34.2N  77.9W WILMINGTON NORTH CAROLINA
 34.8N  77.4W JACKSONVILLE NORTH CAROLINA
 34.6N  76.6W CAPE LOOKOUT NORTH CAROLINA
 34.7N  76.7W MOREHEAD CITY NORTH CAROLINA
 35.2N  75.5W CAPE HATTERAS NORTH CAROLINA
 00.0N  00.0W === MID-ATLANTIC ===
 36.9N  76.3W NORFOLK VIRGINIA
 38.3N  75.1W OCEAN CITY MARYLAND
 39.2N  75.5W DOVER DELAWARE
 38.9N  74.9W CAPE MAY NEW JERSEY
 39.4N  74.4W ATLANTIC CITY NEW JERSEY
 40.8N  73.8W NEW YORK CITY
 41.1N  71.9W THE EASTERN TIP OF LONG ISLAND
 00.0N  00.0W === NORTHEASTERN STATES ===
 41.8N  71.4W PROVIDENCE RHODE ISLAND
 41.3N  70.1W NANTUCKET MASSACHUSETTS
 41.7N  70.0W CHATHAM MASSACHUSETTS
 00.0N  00.0W === CANADA ===
 44.6N  63.6W HALIFAX NOVA SCOTIA
 46.7N  53.1W CAPE RACE NEWFOUNDLAND
 00.0N  00.0W === ICELAND ===
 64.2N  22.0W REYKJAVIC ICELAND
 00.0N  00.0W === INLAND POINTS ===
 29.5N  98.5W SAN ANTONIO TEXAS
 30.3N  97.7W AUSTIN TEXAS
 27.6N  99.5W LAREDO TEXAS 
 31.6N  97.2W WACO TEXAS 
 30.0N  94.0W BEAUMONT TEXAS 
 32.9N  97.0W DALLAS TEXAS
 32.4N  95.4W TYLER TEXAS
 27.5N  97.9W KINGSVILLE TEXAS
 31.2N  94.8W LUFKIN TEXAS
